setup_id,setup_params,true_mean,pred_mean,relative_error,mse,mae,r2,mean_uncertainty,n_samples
161,"[0.2333333333333333, 0.4111111111111111, 0.0173205080756887]",0.25382132166884097,0.220344484947296,0.13189134459834126,0.008454080954428027,0.07953182844466014,-0.15282151430814617,0.12748638975928456,500
162,"[0.2333333333333333, 0.4111111111111111, 0.04]",0.29659419592281666,0.24740567105781686,0.16584452387380838,0.012974946565463495,0.09636811408523925,-0.22921943471085116,0.12748637285997375,500
163,"[0.2333333333333333, 0.4111111111111111, 0.1125]",0.3932732610912474,0.3339127233127952,0.15093967005115722,0.02287494731489233,0.12966784214412796,-0.182089999299351,0.12748637756454587,500
164,"[0.2333333333333333, 0.4555555555555556, 0.001]",0.16110590931549115,0.20510610147785188,0.27311344207158433,0.008531523395232289,0.07531981307323575,-0.2935357450947591,0.1274864624585876,1500
165,"[0.2333333333333333, 0.4555555555555556, 0.04]",0.3017528958967066,0.25164092958742657,0.16606954011052322,0.014937039287134201,0.10468612890881956,-0.20209588761322927,0.1274864273010705,500
166,"[0.2333333333333333, 0.4555555555555556, 0.05]",0.3253629071710717,0.26357293679500965,0.18991091828566825,0.01727026183352123,0.11163933020738298,-0.28381848427735523,0.12748642245647396,500
167,"[0.2333333333333333, 0.4555555555555556, 0.06]",0.3271205778163568,0.2755049440025929,0.15778778755050582,0.017858990891877924,0.11274448873506711,-0.17533436646771028,0.12748641931398044,500
168,"[0.2333333333333333, 0.4555555555555556, 0.22525]",0.4544536881536851,0.47268136310790576,0.04010898146120163,0.022618678944311098,0.1235544275221484,-0.01490809080503519,0.12748661384921234,500
169,"[0.2333333333333333, 0.5, 0.0720843424240426]",0.3551554844948132,0.29415924862246057,0.17174515618607009,0.018002987872404883,0.1126714519116911,-0.26049743221764343,0.12748648960921782,500
170,"[0.2333333333333333, 0.5, 0.07575]",0.3676287847301385,0.2985331138841461,0.18794956172220606,0.01913136588243423,0.11758370906842333,-0.33253189865168586,0.1274864895736514,500
171,"[0.23901, 0.362637, 0.0023]",0.1639418910836487,0.19850934138194967,0.2108518326907987,0.0061786784509187355,0.0623401223483579,-0.23975999307643092,0.12748636273796685,300
172,"[0.239205, 0.310623, 0.001187]",0.13570594662715432,0.19224899478664872,0.4166585576994512,0.008213315332445193,0.07520370541799344,-0.6373583407291596,0.12748634513255047,300
173,"[0.253764, 0.454055, 0.001976]",0.16518940891718525,0.20867075538951801,0.26322113581700624,0.008147846683387526,0.07348626634816338,-0.3021513923247847,0.12748644822548205,300
174,"[0.254178, 0.443016, 0.003428]",0.1884057444830593,0.2094028720680314,0.11144631777613821,0.005524291727845201,0.05757807753753286,-0.08672901891646712,0.12748643110216573,300
175,"[0.258185, 0.413768, 0.009514]",0.24136204607570544,0.21437631927875198,0.11180600312954386,0.00945276343643738,0.08175518533786238,-0.08346915169971214,0.12748638769732928,300
176,"[0.262946, 0.308551, 0.166312]",0.4373143725631554,0.39203394877646075,0.10354204113137172,0.021519478555644903,0.12728996347777308,-0.10531099395808452,0.1274863727100013,300
177,"[0.2777777777777778, 0.1, 0.000875]",0.1340174725419528,0.17660705249176603,0.31779122501037144,0.007438465878760506,0.07330300377888357,-0.3224894921649226,0.12748650576372594,500
178,"[0.2777777777777778, 0.1, 0.05]",0.3017246713376186,0.23522303789901858,0.22040501673175086,0.021883003669992233,0.1252055497084835,-0.2532835844000014,0.12748647257483942,500
179,"[0.2777777777777778, 0.1, 0.0720843424240426]",0.34603091205643277,0.26157409119685987,0.24407304514189973,0.029472411189007352,0.14665263110043264,-0.3192984823959,0.1274864710383696,500
180,"[0.2777777777777778, 0.1, 0.3]",0.49743115986254394,0.5335232180885993,0.0725568890989053,0.03787005912408417,0.15803454443785128,-0.03562287357063498,0.1274869401005591,500
181,"[0.2777777777777778, 0.1444444444444444, 0.0005]",0.09162789894920575,0.1803948607510913,0.9687764658156044,0.009999585000474683,0.08899953086589243,-3.7167598070990895,0.1274864356533942,500
182,"[0.2777777777777778, 0.1444444444444444, 0.1505]",0.4129017073852345,0.3593749688648397,0.12963554343963823,0.029359764169457726,0.1493940732348439,-0.10813924598160929,0.12748645951408433,500
183,"[0.2777777777777778, 0.1888888888888888, 0.0005]",0.10167060399019462,0.1846301192807009,0.8159635516562053,0.009933917208266594,0.08552016636674889,-2.2552758937345807,0.12748638307177443,500
184,"[0.2777777777777778, 0.1888888888888888, 0.000625]",0.10860291876814036,0.18477926937079572,0.7014207762783868,0.008886833343161765,0.07972521307587799,-1.881596020168577,0.12748638293003872,500
185,"[0.2777777777777778, 0.1888888888888888, 0.04]",0.28896688356778344,0.23176154775065466,0.19796501637551786,0.017203095866127307,0.11149568356491948,-0.23491018163528388,0.12748635151980192,500
186,"[0.2777777777777778, 0.2333333333333333, 0.0041617914502878]",0.18568068483010333,0.19323463000806065,0.04068244781650098,0.00550090996561045,0.061101067558988864,-0.010481940170236292,0.12748634432450803,500
