true_value,predicted_mean,relative_error,absolute_error
0.06258272,0.08693879,0.3891821,0.024356075
0.11361862,0.087154426,0.23292126,0.026464194
0.05556779,0.09149381,0.6465258,0.035926018
0.06487454,0.083970934,0.29435885,0.019096397
0.112915896,0.08291161,0.2657224,0.030004285
0.12632856,0.08003869,0.36642438,0.04628987
0.12922099,0.09020108,0.3019626,0.039019912
0.021160955,0.08748743,3.134379,0.06632648
0.0739121,0.08439806,0.14187069,0.010485962
0.16014196,0.0868712,0.45753625,0.07327076
0.14455676,0.08572098,0.4070081,0.058835782
0.12651812,0.08344053,0.34048548,0.043077588
0.02021628,0.082571715,3.0844154,0.062355436
0.16457707,0.08889158,0.45987865,0.075685486
0.04260259,0.0832919,0.9550898,0.040689312
0.11185142,0.08176664,0.26897085,0.030084774
0.09086038,0.081319585,0.10500501,0.009540796
0.120707765,0.084906675,0.29659307,0.03580109
0.0152627025,0.08255993,4.4092574,0.06729723
0.066213794,0.08206806,0.23944056,0.01585427
0.04269283,0.08194967,0.91951823,0.039256845
0.047060587,0.07947963,0.68887866,0.03241904
0.13205096,0.09264061,0.29844803,0.039410353
0.16942279,0.09076736,0.46425527,0.07865543
0.14376247,0.088689424,0.38308355,0.055073045
0.005068108,0.07770892,14.332898,0.072640814
0.09687796,0.07878512,0.18675908,0.01809284
0.094371326,0.0738856,0.21707577,0.020485729
0.049589075,0.08854506,0.7855758,0.038955986
0.0077701653,0.078396216,9.089376,0.07062605
0.033368755,0.08663143,1.5961835,0.053262677
0.108591735,0.08364103,0.22976615,0.024950705
0.073308714,0.08593334,0.17221183,0.012624629
0.050554324,0.08427181,0.6669554,0.033717487
0.0871354,0.082615994,0.05186644,0.004519403
0.08248729,0.09300796,0.12754287,0.010520667
0.1708538,0.087463416,0.4880803,0.08339038
0.04963966,0.0878622,0.76999986,0.03822254
0.0345595,0.08435993,1.4410051,0.04980043
0.058578253,0.085409164,0.4580353,0.026830912
0.05455612,0.08838757,0.6201219,0.03383145
0.08263261,0.088136174,0.06660282,0.005503565
0.048955064,0.080660135,0.647636,0.03170507
0.05481382,0.085824475,0.56574506,0.031010654
0.03399966,0.08983699,1.6422905,0.055837333
0.08793986,0.09088686,0.033511568,0.0029470026
0.12529361,0.08763727,0.30054477,0.037656344
0.07812099,0.087372415,0.11842428,0.009251423
0.066557184,0.077650085,0.16666721,0.011092901
0.16199604,0.08775644,0.4582803,0.0742396
0.07697599,0.08716999,0.13243094,0.010194004
0.062046,0.08091329,0.3040855,0.018867292
0.10338993,0.09182627,0.11184517,0.011563666
0.09513808,0.08531306,0.103271164,0.009825021
0.09765349,0.0937718,0.039749656,0.003881693
0.13439895,0.08951505,0.33396015,0.0448839
0.08648144,0.082657106,0.044221405,0.0038243309
0.022364423,0.08291356,2.7073855,0.06054914
0.081859104,0.09287089,0.13452122,0.011011787
0.17690912,0.080043875,0.54754233,0.096865244
0.020509863,0.08686157,3.2351108,0.06635171
0.05428435,0.09516907,0.75315833,0.04088472
0.11410657,0.084574744,0.25880918,0.029531829
0.08966718,0.09713222,0.08325277,0.007465042
0.04389771,0.081102446,0.8475323,0.037204735
0.099952355,0.08830581,0.11652097,0.011646546
0.08209464,0.083143204,0.012772635,0.0010485649
0.03610521,0.09066671,1.5111803,0.0545615
0.15797311,0.092879266,0.41205645,0.065093845
0.08837451,0.084795274,0.040500775,0.0035792366
0.08607076,0.083246246,0.032816194,0.002824515
0.0046838457,0.08276754,16.670816,0.078083694
0.024393033,0.07922891,2.248013,0.054835875
0.07354104,0.082314625,0.119301915,0.008773588
0.17257205,0.0810189,0.5305212,0.091553144
0.1393621,0.08861417,0.36414433,0.050747924
0.06742489,0.080485396,0.19370444,0.013060503
0.116374694,0.084119014,0.2771709,0.03225568
0.10457538,0.08187815,0.21704182,0.022697233
0.04412788,0.09432594,1.1375585,0.050198056
0.03132854,0.077569656,1.4760056,0.046241116
0.081961654,0.0917189,0.11904643,0.009757243
0.12885137,0.08516731,0.3390267,0.043684058
0.104911774,0.092086695,0.12224632,0.012825079
0.16891952,0.07652481,0.5469747,0.09239471
0.1283441,0.09046401,0.29514474,0.037880093
0.12686183,0.08130773,0.35908428,0.045554094
0.102506936,0.086060844,0.1604388,0.016446091
0.038303394,0.07957501,1.0774921,0.041271616
0.032650527,0.07919802,1.4256271,0.04654749
0.045922156,0.08869043,0.9313209,0.042768274
0.06471269,0.08160549,0.26104304,0.016892798
0.047551017,0.087028846,0.8302203,0.03947783
0.027924454,0.0782387,1.8017982,0.050314248
0.03664112,0.08848354,1.4148695,0.05184242
0.121431805,0.09370422,0.22833869,0.027727582
0.10221058,0.09200851,0.09981424,0.010202073
0.13627934,0.07867595,0.42268613,0.057603396
0.10600637,0.10090036,0.048167005,0.0051060095
0.13788529,0.08362859,0.39349154,0.0542567
0.060345344,0.090332106,0.49691913,0.029986762
0.18317242,0.093118,0.4916374,0.09005442
0.08722041,0.086912334,0.0035321324,0.00030807406
0.031481307,0.08781477,1.7894251,0.056333464
0.04864593,0.080051266,0.6455901,0.031405337
0.013132321,0.08685663,5.613955,0.073724315
0.03466127,0.07879096,1.2731696,0.044129692
0.11133605,0.08270469,0.2571616,0.02863136
0.09833087,0.078897,0.19763753,0.01943387
0.046629574,0.07647498,0.640053,0.029845405
0.09961221,0.08724516,0.12415198,0.012367055
